Tiempo Real, Tiempo, Iluminacion
17-46-57,0,221
17-47-57,1,225
17-48-57,2,229
17-49-57,3,230
17-50-57,4,238
17-51-57,5,532
17-52-57,6,287
17-53-57,7,273
17-54-57,8,322
17-55-57,9,253
17-56-57,10,239
17-57-57,11,247
17-58-57,12,268
17-59-57,13,289
18-00-57,14,304
18-01-57,15,306
18-02-57,16,310
18-03-57,17,319
18-04-57,18,318
18-05-57,19,331
18-06-57,20,326
18-07-57,21,336
18-08-57,22,345
18-09-57,23,355
18-10-57,24,361
18-11-57,25,368
18-12-57,26,383
18-13-57,27,410
18-14-57,28,389
18-15-57,29,391
18-16-57,30,407
18-17-57,31,419
18-18-57,32,432
18-19-57,33,432
18-20-57,34,442
18-21-57,35,450
18-22-57,36,471
18-23-57,37,485
18-24-57,38,496
18-25-57,39,571
18-26-57,40,551
18-27-57,41,530
18-28-57,42,531
18-29-57,43,537
18-30-57,44,550
18-31-57,45,562
18-32-57,46,591
18-33-57,47,624
18-34-57,48,673
18-35-57,49,790
18-36-57,50,938
18-37-57,51,1007
18-38-57,52,1077
18-39-57,53,1137
18-40-57,54,1185
18-41-57,55,1230
18-42-57,56,1277
18-43-57,57,1361
18-44-57,58,1494
18-45-57,59,1635
18-46-57,0,1740
19-12-50,1,4090
19-13-50,2,2880
19-14-50,3,2896
19-15-50,4,2929
19-16-50,5,2945
19-17-50,6,3159
19-18-50,7,3168
19-19-50,8,3171
19-20-50,9,3184
19-21-50,10,3185
19-22-50,11,3186
19-23-50,12,3186
19-24-50,13,3205
19-25-50,14,3152
19-26-50,15,3214
19-27-50,16,3202
19-28-50,17,3184
19-29-50,18,3189
19-30-50,19,3180
19-31-50,20,3191
19-32-50,21,3198
19-33-50,22,3189
19-34-50,23,3292
19-35-50,24,3187
19-36-50,25,3194
19-37-50,26,3190
19-38-50,27,3191
19-39-50,28,3191
19-40-50,29,3191
19-41-50,30,3197
19-42-50,31,3198
19-43-50,32,3191
19-44-50,33,3187
19-45-50,34,3190
19-46-50,35,3193
19-47-50,36,3187
19-48-50,37,3199
19-49-50,38,3201
19-50-50,39,3194
19-51-50,40,3194
19-52-50,41,3194
19-53-50,42,3187
19-54-50,43,3191
19-55-50,44,3191
19-56-50,45,3190
19-57-50,46,3199
19-58-50,47,3183
19-59-50,48,3187
20-00-50,49,3191
20-01-50,50,3189
20-02-50,51,3182
20-03-50,52,3186
20-04-50,53,3187
20-05-50,54,3188
20-06-50,55,3187
20-07-50,56,3187
20-08-50,57,3184
20-09-50,58,3189
20-10-50,59,3190
20-11-50,0,3184
20-12-50,1,3193
20-13-50,2,3197
20-14-50,3,3199
20-15-50,4,3195
20-16-50,5,3193
20-17-50,6,3195
20-18-50,7,3196
20-19-50,8,3191
20-20-50,9,3199
20-21-50,10,3200
20-22-50,11,3194
20-23-50,12,3202
20-24-50,13,3200
20-25-50,14,3202
20-26-50,15,3202
20-27-50,16,3207
20-28-50,17,3202
20-29-50,18,3206
20-30-50,19,3201
20-31-50,20,3206
20-32-50,21,3207
20-33-50,22,3203
20-34-50,23,3201
20-35-50,24,3205
20-36-50,25,3200
20-37-50,26,3201
20-38-50,27,3202
20-39-50,28,3199
20-40-50,29,3200
20-41-50,30,3200
20-42-50,31,3205
20-43-50,32,3201
20-44-50,33,3203
20-45-50,34,3201
20-46-50,35,3199
20-47-50,36,3199
20-48-50,37,3200
20-49-50,38,3203
20-50-50,39,3203
20-51-50,40,3200
20-52-50,41,3200
20-53-50,42,3194
20-54-50,43,3207
20-55-50,44,3196
20-56-50,45,3200
20-57-50,46,3201
20-58-50,47,3201
20-59-50,48,3200
21-00-50,49,3207
21-01-50,50,3200
21-02-50,51,3205
21-03-50,52,3203
21-04-50,53,3200
21-05-50,54,3203
21-06-50,55,3200
