Tiempo Real, Tiempo, Iluminacion
15-11-45,0,0
15-11-45,0,0
15-11-45,0,0
15-11-46,0,0
15-11-47,0,0
15-11-48,0,0
15-11-49,0,0
15-11-50,0,0
15-11-51,0,0
15-11-52,0,0
15-11-53,0,0
15-11-54,0,0
15-11-55,0,0
15-11-56,0,0
15-11-57,0,0
15-11-58,0,0
15-11-59,0,0
15-12-00,0,0
15-12-01,1,0
15-12-02,1,0
15-12-03,1,0
15-12-04,1,0
15-12-05,1,0
15-12-06,1,0
15-12-07,1,0
15-12-08,1,0
15-12-09,1,0
15-12-10,1,0
15-12-11,1,0
15-12-12,1,0
15-12-13,1,0
15-12-14,1,0
15-12-15,1,0
15-12-16,1,0
15-12-17,1,0
15-12-18,1,0
15-12-19,1,0
15-12-20,1,0
15-12-21,1,0
15-12-22,1,0
15-12-23,1,0
15-12-24,1,0
15-12-25,1,0
15-12-26,1,0
15-12-27,1,0
15-12-28,1,0
15-12-29,1,0
15-12-30,1,0
15-12-31,1,0
15-12-32,1,0
15-12-33,1,0
15-12-34,1,0
15-12-35,1,0
15-12-36,1,0
15-12-37,1,0
15-12-38,1,0
15-12-39,1,0
15-12-40,1,0
15-12-41,1,0
15-12-42,1,0
15-12-43,1,0
15-12-44,1,0
15-12-45,1,0
15-12-46,1,0
15-12-47,1,0
15-12-48,1,0
15-12-49,1,0
15-12-50,1,0
15-12-51,1,0
15-12-52,1,0
15-12-53,1,0
15-12-54,1,0
15-12-55,1,0
15-12-56,1,0
15-12-57,1,0
15-12-58,1,0
15-12-59,1,0
15-13-00,1,0
15-13-01,2,0
15-13-02,2,0
15-13-03,2,0
15-13-04,2,0
15-13-05,2,0
15-13-06,2,0
15-13-07,2,0
15-13-08,2,0
15-13-09,2,0
15-13-10,2,0
15-13-11,2,0
15-13-12,2,0
15-13-13,2,0
15-13-14,2,0
15-13-15,2,0
15-13-16,2,0
15-13-17,2,0
15-13-18,2,0
15-13-19,2,0
15-13-20,2,0
15-13-21,2,0
15-13-22,2,0
15-13-23,2,0
15-13-24,2,0
15-13-25,2,0
15-13-26,2,0
15-13-27,2,0
15-13-28,2,0
15-13-29,2,0
15-13-30,2,0
15-13-31,2,0
15-13-32,2,0
15-13-33,2,0
15-13-34,2,0
15-13-35,2,0
15-13-36,2,0
15-13-37,2,0
15-13-38,2,0
15-13-39,2,0
15-13-40,2,0
15-13-41,2,0
15-13-42,2,0
15-13-43,2,0
15-13-44,2,0
15-13-45,2,0
15-13-46,2,0
15-13-47,2,0
15-13-48,2,0
15-13-49,2,0
15-13-50,2,0
15-13-51,2,0
15-13-52,2,49
15-13-53,2,695
15-13-55,2,1575
15-13-56,2,2173
15-13-57,2,2320
15-13-58,2,2389
15-13-58,2,304
15-13-59,2,0
15-14-00,2,0
15-14-01,3,0
15-14-02,3,0
15-14-03,3,0
15-14-04,3,0
15-14-05,3,0
